plot,tree_id,bin_low,bin_high,hag_mid,tree_height_m,CBH_m,n_points,n_wood,n_leaf,wood_frac,leaf_frac,wood_area_m2,total_area_m2,wood_spread_m,intensity_median_wood,intensity_median_all,wood_area_ratio,wood_spread_ratio,intensity_wood_ratio
P02,29,14.0,14.25,14.125,15.831603617881026,11.37,29233,55,29178,0.0018814353641432627,0.9981185646358567,0.17000000000000004,23.130000000000006,0.9927136613550146,2570.0,2827.0,0.4358974358974359,2.362350521365279,0.3333333333333333
P02,29,14.25,14.5,14.375,15.831603617881026,11.37,24602,32,24570,0.0013007072595723926,0.9986992927404276,0.12000000000000002,22.320000000000004,0.2345677210699961,2698.5,2827.0,0.3076923076923077,0.5581984007440812,0.35
P02,29,14.5,14.75,14.625,15.831603617881026,11.37,20765,53,20712,0.002552371779436552,0.9974476282205634,0.16000000000000003,20.740000000000006,1.6366639835583154,2570.0,3084.0,0.41025641025641024,3.894752500515924,0.3333333333333333
P02,29,14.75,15.0,14.875,15.831603617881026,11.37,16574,16,16558,0.0009653674429829854,0.999034632557017,0.08000000000000002,18.620000000000005,0.8395639951377992,1542.0,2827.0,0.20512820512820512,1.997901830953057,0.2
P02,29,15.0,15.25,15.125,15.831603617881026,11.37,9572,2,9570,0.0002089427496865859,0.9997910572503134,0.010000000000000002,15.160000000000004,0.008845903100915854,2441.5,2827.0,0.02564102564102564,0.021050504909816154,0.31666666666666665
P02,29,15.25,15.5,15.375,15.831603617881026,11.37,3946,0,3946,0.0,1.0,0.0,9.480000000000002,,,3084.0,0.0,,
P02,29,15.5,15.75,15.625,15.831603617881026,11.37,3178,0,3178,0.0,1.0,0.0,6.190000000000001,,,3341.0,0.0,,
P02,29,15.75,16.0,15.875,15.831603617881026,11.37,5993,0,5993,0.0,1.0,0.0,6.480000000000001,,,3598.0,0.0,,
P02,30,0.0,0.25,0.125,14.854839769061547,9.49,80959,80922,37,0.9995429785446954,0.0004570214553045737,0.4700000000000001,0.4700000000000001,0.3103445665656689,14906.0,14906.0,2.238095238095238,1.624573493274845,0.8285714285714286
P02,30,0.25,0.5,0.375,14.854839769061547,9.49,56221,56220,1,0.9999822130520624,1.778694793763691e-05,0.21000000000000005,0.22000000000000003,0.21292498669407167,19789.0,19789.0,1.0,1.114607203428815,1.1
P02,30,0.5,0.75,0.625,14.854839769061547,9.49,81621,81621,0,1.0,0.0,0.21000000000000005,0.21000000000000005,0.19103141092131856,18247.0,18247.0,1.0,1.0,1.0142857142857142
P02,30,0.75,1.0,0.875,14.854839769061547,9.49,89593,89593,0,1.0,0.0,0.20000000000000004,0.20000000000000004,0.18409073802794762,17990.0,17990.0,0.9523809523809523,0.9636673735492136,1.0
P02,30,1.0,1.25,1.125,14.854839769061547,9.49,87467,87467,0,1.0,0.0,0.16000000000000003,0.16000000000000003,0.17580102415741647,16448.0,16448.0,0.7619047619047619,0.9202728666953356,0.9142857142857143
P02,30,1.25,1.5,1.375,14.854839769061547,9.49,74987,74987,0,1.0,0.0,0.18000000000000005,0.18000000000000005,0.17742547776468096,14392.0,14392.0,0.8571428571428572,0.9287764609442078,0.8
P02,30,1.5,1.75,1.625,14.854839769061547,9.49,63375,63374,1,0.9999842209072979,1.5779092702117303e-05,0.16000000000000003,0.16000000000000003,0.17530829954450963,13107.0,13107.0,0.7619047619047619,0.9176935808567894,0.7285714285714285
P02,30,1.75,2.0,1.875,14.854839769061547,9.49,46056,46056,0,1.0,0.0,0.17000000000000004,0.17000000000000004,0.17728437648107082,11565.0,11565.0,0.8095238095238095,0.9280378322394853,0.6428571428571429
P02,30,2.0,2.25,2.125,14.854839769061547,9.49,34262,34262,0,1.0,0.0,0.16000000000000003,0.16000000000000003,0.1814634955539347,10794.0,10794.0,0.7619047619047619,0.9499144390902046,0.6
P02,30,2.25,2.5,2.375,14.854839769061547,9.49,25520,25520,0,1.0,0.0,0.15000000000000002,0.15000000000000002,0.1758237756401519,9252.0,9252.0,0.7142857142857142,0.9203919648197,0.5142857142857142
P02,30,2.5,2.75,2.625,14.854839769061547,9.49,21990,21990,0,1.0,0.0,0.18000000000000005,0.18000000000000005,0.1908412952521549,8738.0,8738.0,0.8571428571428572,0.9990047936711206,0.4857142857142857
P02,30,2.75,3.0,2.875,14.854839769061547,9.49,19452,19287,165,0.9915175817396669,0.008482418260333136,0.2700000000000001,0.30000000000000004,0.3290328125862985,7967.0,7967.0,1.2857142857142858,1.7224016249443896,0.44285714285714284
P02,30,3.0,3.25,3.125,14.854839769061547,9.49,15078,11851,3227,0.7859795728876509,0.21402042711234914,0.26000000000000006,0.3400000000000001,0.16982196492197837,6682.0,5654.0,1.2380952380952381,0.8889740388920864,0.37142857142857144
P02,30,3.25,3.5,3.375,14.854839769061547,9.49,15138,13280,1858,0.8772625181662043,0.12273748183379574,0.30000000000000004,0.4200000000000001,0.2372066593448944,6939.0,6425.0,1.4285714285714284,1.2417154760093059,0.38571428571428573
P02,30,3.5,3.75,3.625,14.854839769061547,9.49,14520,13852,668,0.9539944903581267,0.04600550964187333,0.4100000000000001,0.4900000000000001,0.6154246877601027,6425.0,6168.0,1.9523809523809523,3.2215889773937856,0.35714285714285715
P02,30,3.75,4.0,3.875,14.854839769061547,9.49,13775,13165,610,0.9557168784029038,0.04428312159709624,0.31000000000000005,0.3600000000000001,0.27379736970028684,6168.0,5911.0,1.476190476190476,1.433258375571846,0.34285714285714286
P02,30,4.0,4.25,4.125,14.854839769061547,9.49,11377,8442,2935,0.7420233805045267,0.25797661949547335,0.3500000000000001,0.45000000000000007,0.23477616996947212,5654.0,4112.0,1.6666666666666667,1.2289924931045555,0.3142857142857143
P02,30,4.25,4.5,4.375,14.854839769061547,9.49,7633,7177,456,0.940259399973798,0.05974060002620196,0.32000000000000006,0.4100000000000001,0.30945758998402706,5140.0,4883.0,1.5238095238095237,1.6199304004066928,0.2857142857142857
P02,30,4.5,4.75,4.625,14.854839769061547,9.49,7170,6717,453,0.9368200836820084,0.06317991631799158,0.2700000000000001,0.28,0.3378937687717534,4883.0,4883.0,1.2857142857142858,1.7687864374876239,0.2714285714285714
P02,30,4.75,5.0,4.875,14.854839769061547,9.49,6629,6628,1,0.9998491476844169,0.0001508523155830943,0.26000000000000006,0.2700000000000001,0.3398134041800461,4883.0,4883.0,1.2380952380952381,1.7788352320760872,0.2714285714285714
P02,30,5.0,5.25,5.125,14.854839769061547,9.49,6201,6201,0,1.0,0.0,0.25000000000000006,0.25000000000000006,0.3551295537787716,5397.0,5397.0,1.1904761904761905,1.8590113116268678,0.3
P02,30,5.25,5.5,5.375,14.854839769061547,9.49,8786,7711,1075,0.8776462554063282,0.12235374459367176,0.3400000000000001,0.4900000000000001,0.36627585214331077,5140.0,4626.0,1.619047619047619,1.9173592990640234,0.2857142857142857
P02,30,5.5,5.75,5.625,14.854839769061547,9.49,14927,8073,6854,0.5408320493066255,0.45916795069337446,0.44000000000000006,1.3200000000000003,0.3456142356707417,4883.0,3341.0,2.095238095238095,1.8092010837583785,0.2714285714285714
P02,30,5.75,6.0,5.875,14.854839769061547,9.49,29504,7721,21783,0.26169332971800435,0.7383066702819956,0.4000000000000001,1.7100000000000004,0.37555825157112144,4626.0,2827.0,1.9047619047619047,1.9659502579175592,0.2571428571428571
P02,30,6.0,6.25,6.125,14.854839769061547,9.49,28929,6270,22659,0.2167375298143731,0.7832624701856269,0.4100000000000001,1.9900000000000004,0.38676161906443507,4369.0,2827.0,1.9523809523809523,2.0245969874751815,0.24285714285714285
P02,30,6.25,6.5,6.375,14.854839769061547,9.49,21119,5342,15777,0.25294758274539514,0.7470524172546049,0.38000000000000006,1.9200000000000004,0.4813555793812141,4626.0,2313.0,1.8095238095238093,2.5197718901813135,0.2571428571428571
P02,30,6.5,6.75,6.625,14.854839769061547,9.49,21420,7560,13860,0.35294117647058826,0.6470588235294117,0.5300000000000001,1.9900000000000004,1.0834940693124726,4112.0,2313.0,2.5238095238095237,5.671811060217416,0.22857142857142856
P02,30,6.75,7.0,6.875,14.854839769061547,9.49,23845,11151,12694,0.4676452086391277,0.5323547913608724,1.1400000000000001,2.2700000000000005,1.6629899117193847,3855.0,2827.0,5.428571428571428,8.705321830054073,0.21428571428571427
P02,30,7.0,7.25,7.125,14.854839769061547,9.49,23350,14386,8964,0.6161027837259101,0.3838972162740899,1.1500000000000001,2.2900000000000005,2.3535636809412512,4112.0,3341.0,5.476190476190475,12.3202968014021,0.22857142857142856
P02,30,7.25,7.5,7.375,14.854839769061547,9.49,11924,4198,7726,0.3520630660852063,0.6479369339147937,0.4000000000000001,1.3400000000000003,2.152479230915334,4626.0,2827.0,1.9047619047619047,11.26767174327101,0.2571428571428571
P02,30,7.5,7.75,7.625,14.854839769061547,9.49,15453,5169,10284,0.33449815569792274,0.6655018443020773,0.56,1.3100000000000003,2.135671790829162,4369.0,2827.0,2.6666666666666665,11.179689143942909,0.24285714285714285
P02,30,7.75,8.0,7.875,14.854839769061547,9.49,16814,8115,8699,0.48263351968597595,0.5173664803140241,0.8000000000000002,1.5300000000000002,1.6984307232836313,4112.0,3084.0,3.8095238095238093,8.890845307022182,0.22857142857142856
P02,30,8.0,8.25,8.125,14.854839769061547,9.49,13699,6200,7499,0.4525877801299365,0.5474122198700635,0.8100000000000002,2.4000000000000004,1.685482303842795,4883.0,3084.0,3.857142857142857,8.823063682113547,0.2714285714285714
